length_url,random_domain,nb_external_redirection,suspecious_tld,external_favicon,links_in_tags,sfh,domain_in_title,domain_age,web_traffic,status
37,0,0,0,0,100,0,0,4823,212735,legitimate
73,0,0,0,0,90,0,0,11046,545,legitimate
56,0,0,0,0,0,0,1,2939,0,phishing
70,0,0,0,1,0,0,1,3385,12180,legitimate
70,0,0,0,0,0,0,1,7802,0,phishing
52,0,0,0,0,100,0,1,-1,241891,legitimate
31,0,0,0,1,0,0,1,5366,3913090,legitimate
90,0,0,0,0,93.33333333,0,1,2112,0,phishing
45,0,0,0,1,86.66666667,0,1,7156,2272,legitimate
55,0,0,0,0,40,0,0,7602,145276,legitimate
65,0,0,0,0,100,0,1,135,0,phishing
41,0,0,0,1,3.50877193,0,1,1546,4669,phishing
71,0,0,0,1,6.976744186,0,1,7,0,phishing
83,0,0,0,1,0,0,0,8348,1,phishing
73,0,0,0,0,100,0,1,-1,0,phishing
44,0,0,0,0,100,0,1,184,0,phishing
114,0,0,0,0,100,0,1,2403,819233,phishing
127,0,0,0,0,100,0,1,3992,5697976,phishing
99,0,0,0,1,50,0,1,254,0,phishing
56,0,0,0,0,100,0,1,6041,0,phishing
51,0,0,0,1,0,0,0,7284,2788,legitimate
51,0,0,0,0,100,0,1,-1,0,phishing
40,0,0,0,0,96,0,0,-1,1166803,legitimate
33,1,0,0,1,91.89189189,0,1,5111,5692030,phishing
88,0,0,0,1,84.21052632,0,0,8024,88431,legitimate
122,0,0,0,1,40,0,1,5993,5488,legitimate
53,0,0,0,1,20,0,1,2684,188662,legitimate
46,1,0,0,0,100,0,1,725,23941,phishing
36,0,0,0,1,0,0,1,7295,0,phishing
31,0,0,0,1,53.84615385,0,1,3754,3847776,legitimate
48,0,0,0,1,7.407407407,0,0,5381,299694,legitimate
101,0,0,0,1,45.45454545,0,1,3743,0,phishing
41,0,0,0,0,0,0,1,5416,435027,legitimate
43,0,0,0,0,0,0,1,1901,0,phishing
15,0,0,0,0,0,0,0,3937,0,legitimate
42,1,0,0,0,100,0,1,6668,1677903,legitimate
51,0,0,0,1,50,0,0,4413,225825,legitimate
48,0,0,0,0,0,0,1,3983,0,phishing
49,0,0,0,0,100,0,1,7732,81846,legitimate
25,0,0,0,0,100,0,1,2647,0,phishing
49,0,0,0,1,78.57142857,0,0,9285,121,legitimate
48,0,0,0,0,89.36170213,0,0,8047,1577,legitimate
108,0,0,0,0,75,0,0,531,0,phishing
39,0,0,0,0,0,0,0,1028,0,phishing
80,0,0,0,0,83.33333333,0,1,5334,1137149,legitimate
36,0,0,0,0,100,0,1,7602,2368410,legitimate
28,0,0,0,1,34.48275862,0,1,6460,1119897,legitimate
33,0,0,1,1,0,0,1,1953,4365,phishing
23,0,0,0,0,55.55555556,0,0,-1,7600,legitimate
77,0,0,0,1,50,0,1,5224,137,legitimate
342,0,0,0,1,66.66666667,0,1,-1,1554194,phishing
38,0,0,0,0,100,0,1,189,0,phishing
73,0,0,0,1,44.82758621,0,1,6203,38365,legitimate
33,0,0,0,1,58.33333333,0,0,5639,2,legitimate
67,0,0,0,0,0,0,1,1785,7811868,phishing
39,0,0,0,0,100,0,0,6431,15489,legitimate
24,0,0,0,1,97.5308642,0,0,2254,219358,legitimate
26,0,0,0,1,90.90909091,0,0,-1,543542,legitimate
39,0,0,0,0,0,0,1,9253,21542,legitimate
62,1,0,0,0,0,0,1,5825,0,phishing
41,0,0,0,0,83.33333333,0,1,1899,507771,phishing
40,0,0,0,1,0,0,1,7295,0,phishing
51,0,0,0,0,100,0,1,4120,632334,legitimate
59,0,0,0,0,100,0,0,3650,7053,legitimate
50,0,0,0,1,0,0,1,8044,2580,legitimate
52,1,0,0,1,81.81818182,0,1,6831,0,phishing
43,0,0,0,1,0,0,1,3904,0,phishing
94,0,0,0,1,0,0,1,4183,0,phishing
60,0,0,0,0,100,0,0,2403,62284,legitimate
18,0,0,0,1,85.71428571,0,0,-1,1111694,legitimate
204,0,0,0,1,40,0,1,7968,892,phishing
94,0,0,0,0,0,0,0,8346,1,phishing
41,0,0,0,0,87.5,0,1,-1,0,phishing
19,1,0,0,0,100,0,1,1154,0,phishing
35,0,0,0,0,0,0,1,3608,0,phishing
63,0,0,0,1,0,0,1,2870,0,phishing
53,0,0,0,0,0,0,1,5972,0,phishing
75,0,0,0,1,0,0,1,5616,0,phishing
35,0,0,0,1,0,0,1,6381,0,phishing
210,0,0,0,0,0,0,1,8348,1,phishing
44,0,0,0,0,100,0,1,4825,128305,legitimate
150,0,0,0,0,0,0,1,4405,0,phishing
39,0,0,0,0,0,0,1,570,0,phishing
64,0,0,0,1,0,0,1,3381,6240092,phishing
106,0,0,0,0,0,0,1,4681,4701900,phishing
34,0,0,0,0,85.71428571,0,0,-1,5496959,phishing
65,0,0,0,0,100,0,0,7133,12,legitimate
60,1,0,0,1,0,0,1,2290,10725245,phishing
25,0,0,0,0,100,0,1,896,0,phishing
39,0,0,0,1,72.22222222,0,1,6901,11507,legitimate
38,1,0,0,0,94.73684211,0,0,3899,207904,legitimate
129,0,0,0,0,100,0,1,-2,9675493,phishing
52,0,0,0,0,92.85714286,0,0,9224,18386,legitimate
30,0,0,0,0,0,0,1,-1,0,phishing
33,0,0,0,1,68.08510638,0,1,7449,0,legitimate
118,0,0,0,1,40,0,0,7287,0,legitimate
27,0,0,0,1,57.14285714,0,1,2625,8571696,legitimate
78,0,0,0,0,0,0,1,11192,1465,legitimate
35,0,0,0,0,100,0,1,2839,0,phishing
32,0,0,0,1,98.07692308,0,1,-1,5497323,phishing
64,0,0,0,1,0,0,1,5615,0,phishing
38,0,0,0,0,100,0,1,189,0,phishing
24,0,0,0,1,46.66666667,0,1,4996,179875,legitimate
68,0,0,0,1,62.5,0,1,3526,24047,legitimate
126,0,0,0,0,100,0,1,3993,5707171,phishing
41,0,0,0,0,100,0,0,7130,12,legitimate
48,0,0,0,0,100,0,0,7134,13,legitimate
29,0,0,0,1,50,0,1,3904,0,legitimate
24,0,0,0,1,66.66666667,0,1,2980,1168093,legitimate
50,0,0,0,1,71.42857143,0,1,7427,193,legitimate
126,0,0,0,0,100,0,1,3992,5697976,phishing
39,0,0,0,1,76,0,0,8627,5781,legitimate
102,0,0,0,0,85.71428571,0,1,2047,0,phishing
31,0,0,0,1,64.28571429,0,1,2425,0,legitimate
86,1,0,0,0,0,0,1,5826,0,phishing
78,0,0,0,1,4.761904762,0,1,6068,4211,legitimate
29,0,0,0,1,20,0,1,3477,7290834,legitimate
33,1,0,0,1,0,0,0,8965,70,legitimate
27,0,0,0,1,0,0,1,7,0,phishing
24,0,0,0,0,100,0,1,-1,373207,legitimate
39,0,0,0,1,80.76923077,0,0,6096,83476,legitimate
28,0,0,0,0,100,0,1,5903,0,legitimate
102,0,0,0,0,93.10344828,0,1,5627,0,phishing
43,0,0,0,0,100,0,1,4153,124314,legitimate
27,0,0,0,1,50,0,0,4764,199026,legitimate
101,0,0,0,0,45.45454545,0,0,9744,962,legitimate
60,0,0,0,1,62.5,0,1,3163,1323034,legitimate
38,0,0,0,1,95.12195122,0,1,-1,98458,legitimate
19,1,0,0,0,0,0,1,2088,0,phishing
137,0,0,0,1,90,0,0,4162,376041,legitimate
263,0,0,0,0,0,0,1,-1,0,phishing
22,0,0,0,1,10,0,1,-1,3536,phishing
89,0,0,0,0,100,0,1,918,0,phishing
28,0,0,0,1,28.57142857,0,0,5890,2487034,legitimate
49,0,0,0,0,88.88888889,0,0,8046,1577,legitimate
45,0,0,0,1,0,0,1,5616,0,phishing
30,0,0,0,1,24.59016393,0,1,5442,0,phishing
54,0,0,0,0,0,0,1,3188,9820235,phishing
29,0,0,0,1,0,0,1,-1,0,legitimate
86,0,0,0,0,0,0,1,3977,0,phishing
26,0,0,0,0,0,0,1,1,0,phishing
83,0,0,0,1,0,0,1,4549,146,legitimate
49,0,0,0,0,100,0,1,1,9657236,phishing
33,1,0,0,1,0,0,0,8969,70,legitimate
40,0,0,0,0,90.47619048,0,0,9205,692,legitimate
56,0,0,0,0,83.33333333,0,1,8697,25617,legitimate
27,0,0,0,1,0,0,0,3873,2192611,legitimate
70,0,0,0,1,36.36363636,0,1,4821,151781,legitimate
128,0,0,0,0,0,0,1,65,0,phishing
25,0,0,0,0,0,0,1,-1,0,phishing
33,0,0,0,1,28.57142857,0,0,8517,8,legitimate
52,0,0,0,1,0,0,0,3118,258,legitimate
31,0,0,0,1,7.692307692,0,1,7318,19471,legitimate
41,0,0,0,1,0,0,1,7295,0,phishing
33,0,0,0,0,0,0,1,6022,4222108,legitimate
32,0,0,1,0,0,0,1,1,0,phishing
66,0,0,0,1,75,0,1,3346,0,legitimate
85,0,0,0,0,0,0,0,5409,9424,legitimate
52,0,0,0,0,100,0,0,7129,12,legitimate
109,0,0,0,1,75,0,1,4300,17917,legitimate
84,0,0,0,1,15,0,1,2785,456652,legitimate
110,0,0,0,0,0,0,0,8346,1,phishing
171,0,0,0,0,100,0,1,1095,3898136,phishing
17,0,0,0,0,75,0,0,-1,1860135,legitimate
19,0,0,0,0,100,0,0,7557,3080310,legitimate
98,0,1,0,0,100,0,1,-1,0,phishing
32,0,0,0,1,40,0,1,2581,3704884,phishing
28,0,0,0,0,89.47368421,0,0,-1,5759582,legitimate
64,0,0,0,0,0,0,1,7083,17964,phishing
40,0,0,0,0,100,0,0,7133,12,legitimate
132,0,0,0,1,7.692307692,0,1,8019,0,phishing
124,0,0,0,1,0,0,1,8019,0,phishing
51,0,0,0,0,50,0,1,3747,0,phishing
141,0,0,0,1,64.28571429,0,1,-1,0,phishing
126,0,0,0,0,100,0,1,3993,5707171,phishing
21,0,0,0,1,50,0,1,4924,0,legitimate
53,0,0,0,0,100,0,1,11205,173087,legitimate
27,0,0,0,1,62.5,0,0,-1,0,legitimate
76,0,0,0,0,100,0,1,1379,0,phishing
79,0,0,0,0,85,0,1,4133,3807718,legitimate
77,0,0,0,0,100,0,1,5767,0,phishing
35,0,0,0,1,66.66666667,0,0,7169,3198502,legitimate
56,0,0,0,0,100,0,0,6842,74297,legitimate
49,0,0,0,0,0,0,1,7705,549152,legitimate
41,0,0,0,1,96.42857143,0,0,6769,114612,legitimate
84,0,0,0,0,100,0,1,-1,0,phishing
29,0,0,0,0,80,0,1,8309,891412,legitimate
21,0,0,0,0,97.56097561,0,0,-1,405272,legitimate
35,0,0,0,0,100,0,1,5572,126063,legitimate
28,0,0,0,1,0,0,0,-1,642658,legitimate
97,0,0,0,0,100,0,1,-1,2656129,phishing
36,0,0,0,0,0,0,1,2744,0,phishing
63,0,0,0,0,100,0,1,8176,1489770,legitimate
24,0,0,0,1,84.375,0,1,3086,2742704,legitimate
40,0,0,0,1,0,0,1,7295,0,phishing
85,0,0,1,0,100,0,1,4505,0,phishing
56,0,0,0,1,0,0,1,5627,0,phishing
49,0,0,0,0,100,0,1,393,0,phishing
23,0,0,0,0,100,0,1,-2,0,phishing
64,0,0,0,1,16.66666667,0,1,2232,0,phishing
46,0,0,0,1,20,0,1,205,6985854,phishing
36,0,0,0,0,100,0,1,1880,0,phishing
29,0,0,0,0,100,0,1,5904,3369493,legitimate
55,1,0,0,1,81.81818182,0,1,6831,0,phishing
45,0,0,0,1,61.53846154,0,1,6260,683,legitimate
33,0,0,0,1,91.30434783,0,1,-1,1120148,legitimate
231,0,0,0,0,100,0,1,-1,0,phishing
30,1,0,1,0,100,0,1,-1,0,phishing
31,0,0,0,0,81.81818182,0,1,6749,581257,legitimate
27,0,0,0,0,0,0,1,-1,0,legitimate
81,0,0,0,0,100,0,1,5767,0,phishing
58,0,0,0,0,100,0,1,7913,0,legitimate
28,0,0,0,1,11.76470588,0,1,7296,1726750,legitimate
25,0,0,0,1,83.33333333,0,0,2568,286071,legitimate
87,0,0,0,1,97.22222222,0,1,1302,0,phishing
28,0,0,0,0,93.75,0,1,5230,0,legitimate
133,0,0,0,0,0,0,0,5956,4922,legitimate
26,0,0,0,1,50,0,0,-1,353666,legitimate
36,0,0,0,1,96.77419355,0,1,6478,0,phishing
29,0,0,0,0,50,0,0,990,785858,phishing
37,0,0,0,1,0,0,1,7295,0,phishing
33,0,0,0,1,94.28571429,0,0,4893,1371632,legitimate
47,0,0,0,1,69.23076923,0,0,5886,184,legitimate
26,0,0,0,0,0,0,0,7753,15139,legitimate
93,0,0,0,0,100,0,1,4250,0,phishing
44,0,0,0,0,100,0,1,12706,3016,legitimate
34,0,0,0,0,0,0,1,7308,0,phishing
63,0,0,0,1,0,0,1,2190,156610,legitimate
56,0,0,0,0,33.33333333,0,1,5613,0,phishing
28,0,0,0,0,0,0,1,5614,0,phishing
51,0,0,0,0,33.33333333,0,1,4478,625153,legitimate
50,0,0,0,1,95.91836735,0,1,3141,0,phishing
70,0,0,0,0,100,0,0,7696,54169,legitimate
41,0,0,0,1,50,0,1,-1,4254948,legitimate
74,0,0,0,0,0,0,1,5615,1156,legitimate
26,0,0,0,0,95,0,1,8018,5075341,legitimate
114,0,0,0,1,93.5483871,0,1,4093,56400,legitimate
49,0,0,0,0,0,0,1,-1,641733,phishing
26,0,0,0,1,28.57142857,0,0,-1,7358750,legitimate
42,0,0,0,1,0,0,1,9897,183,legitimate
28,0,0,0,1,85.71428571,0,0,1352,7246656,legitimate
29,0,0,0,0,0,0,0,-1,75756,legitimate
32,0,0,0,1,30,0,1,-1,1316122,legitimate
34,0,0,0,1,50,0,1,2706,0,phishing
51,0,0,0,0,0,0,1,3934,0,phishing
78,0,0,0,1,87.17948718,0,0,7596,4058,legitimate
43,0,0,0,0,100,0,1,3429,0,phishing
154,0,0,0,1,0,0,1,8018,0,phishing
35,0,0,0,1,10.14492754,0,1,3345,270265,legitimate
54,0,0,0,0,57.14285714,0,1,-1,0,legitimate
35,0,0,0,1,50,0,0,3047,0,legitimate
25,0,0,0,0,0,0,1,1549,3205318,legitimate
27,0,0,0,1,66.66666667,0,1,1626,0,legitimate
61,0,0,0,1,0,0,1,-1,0,phishing
41,0,0,0,0,50,0,1,4748,2421611,phishing
47,0,0,0,1,50,0,1,-1,0,phishing
19,0,0,0,0,100,0,0,-1,0,legitimate
38,0,0,0,0,100,0,1,5098,10819,legitimate
64,0,0,0,1,30.76923077,0,1,3167,3345571,legitimate
271,0,0,0,1,23.52941176,0,1,4096,0,phishing
50,0,0,0,1,0,0,0,118,0,phishing
80,0,0,0,1,81.81818182,0,1,7785,19148,legitimate
67,0,0,0,0,100,0,1,219,0,phishing
282,0,0,0,1,16.66666667,0,1,8018,0,phishing
144,0,0,0,1,0,0,1,8018,0,phishing
52,0,0,0,1,90,0,1,1244,0,phishing
28,0,0,0,1,60,0,0,7555,184970,legitimate
50,0,0,0,1,0,0,1,8045,2595,legitimate
60,0,0,0,0,100,0,1,1408,4219048,legitimate
87,0,0,0,1,58.82352941,0,1,5222,136,legitimate
35,1,0,0,0,100,0,1,155,0,phishing
102,0,0,0,0,0,0,1,4701,0,phishing
63,0,0,0,1,45.45454545,0,1,7534,204574,legitimate
36,0,0,0,0,0,0,1,2837,0,phishing
21,1,0,0,0,80,0,0,7714,148721,legitimate
238,0,0,0,0,0,0,1,9338,21,phishing
36,0,0,0,0,80,0,1,-1,0,phishing
38,0,0,0,0,85.71428571,0,1,6636,225794,legitimate
88,0,1,0,0,100,0,1,-1,0,phishing
29,0,0,0,1,81.81818182,0,1,7062,1760637,phishing
27,0,0,0,0,0,0,1,-1,0,phishing
101,0,0,0,1,37.5,0,1,8346,1,phishing
18,0,0,0,1,82.35294118,0,1,-1,4639934,legitimate
27,0,0,0,0,0,0,1,7006,0,phishing
28,0,0,0,0,0,0,0,8349,1,legitimate
36,0,0,0,0,100,0,1,2357,0,phishing
53,1,0,0,1,84.61538462,0,1,7371,97473,legitimate
66,1,0,0,0,100,0,0,5589,0,phishing
35,0,0,0,1,0,0,1,7295,0,phishing
27,0,0,0,1,0,0,1,968,957082,phishing
21,0,0,0,0,100,0,1,-1,0,phishing
123,0,0,0,1,88,0,0,7380,12752,legitimate
47,0,0,0,0,0,0,1,6723,4971141,legitimate
59,1,0,0,0,100,0,1,5280,20776,legitimate
15,0,0,0,1,0,0,1,-1,0,phishing
26,0,0,0,1,50,0,1,8704,2401049,legitimate
82,0,0,0,0,100,0,1,5612,0,phishing
77,0,0,0,0,100,0,0,6216,3181,legitimate
38,0,0,0,1,72.22222222,0,0,6672,0,phishing
39,0,0,0,1,0,0,1,7295,0,phishing
42,0,0,0,0,0,0,0,7266,1103,legitimate
33,0,0,0,1,60.86956522,0,0,4805,141041,legitimate
53,0,0,0,1,0,0,1,7296,0,phishing
44,0,0,0,0,83.33333333,0,1,3081,1803451,legitimate
23,0,0,0,1,50,0,0,2101,3571542,legitimate
17,0,0,0,0,93.33333333,0,1,903,0,legitimate
26,0,0,0,1,0,0,0,2063,1523869,legitimate
129,0,0,0,0,100,0,1,3992,5697976,phishing
42,0,0,0,0,100,0,1,808,0,phishing
52,0,0,0,1,64.70588235,0,1,6673,6923,legitimate
27,0,0,0,1,50,0,0,1846,1306556,legitimate
43,0,0,0,1,86.66666667,0,1,7159,2320,legitimate
28,0,0,0,1,18.18181818,0,1,7297,283040,legitimate
97,0,0,0,0,0,0,1,7969,90170,legitimate
28,0,0,0,1,0,0,1,2634,5403,phishing
27,0,0,0,1,36.36363636,0,1,1617,9329560,legitimate
35,0,0,0,1,66.66666667,0,1,674,0,phishing
62,0,0,0,1,13.33333333,0,1,8683,65933,legitimate
127,0,0,0,0,100,0,1,4003,5816617,phishing
29,1,0,0,1,0,0,1,7359,1052987,phishing
33,0,0,0,0,0,0,1,4001,31358,phishing
72,1,0,0,0,100,0,0,6344,2659943,legitimate
33,0,0,0,1,77.77777778,0,0,4180,1524695,legitimate
40,0,0,0,0,90.47619048,0,0,9202,684,legitimate
61,0,0,0,1,0,0,1,5616,0,phishing
51,0,0,0,1,11.11111111,0,1,3727,0,legitimate
44,0,0,0,0,25,0,0,9486,400,legitimate
259,0,0,0,0,50,0,1,4967,0,phishing
57,0,0,0,1,64.70588235,0,1,2736,0,phishing
31,0,0,0,1,82.35294118,0,1,1259,361430,legitimate
47,0,0,0,0,100,0,1,-1,0,phishing
93,0,0,0,1,42.85714286,0,1,2230,1407776,legitimate
49,0,0,0,0,90.47619048,0,0,9201,684,legitimate
22,0,0,0,1,76.92307692,0,0,-1,33537,legitimate
45,0,0,0,0,100,0,0,-1,1686483,legitimate
105,0,0,0,1,7.692307692,0,1,8019,0,phishing
109,0,0,0,0,80,0,1,14,0,phishing
40,0,0,0,0,100,0,1,4274,0,legitimate
24,0,0,0,1,59.09090909,0,1,-1,134401,phishing
37,0,0,0,1,0,0,0,852,0,phishing
152,0,0,0,1,0,0,0,7422,286,legitimate
124,0,0,0,0,100,0,1,3993,5707171,phishing
35,1,0,0,1,42.85714286,0,1,6951,0,phishing
126,0,0,0,0,100,0,1,3993,5707171,phishing
51,0,0,0,1,0,0,1,5440,0,legitimate
126,0,0,0,1,9.090909091,0,1,1656,2576752,phishing
49,0,0,0,1,61.53846154,0,1,6256,689,legitimate
46,0,0,0,1,66.66666667,0,1,2879,136805,legitimate
31,0,0,0,1,14.28571429,0,0,8520,8,legitimate
45,0,0,0,1,89.28571429,0,0,8831,2695,legitimate
36,0,0,0,1,65.95744681,0,1,7449,0,legitimate
56,0,0,0,1,52,0,1,3232,65403,legitimate
54,0,0,0,1,64.70588235,0,1,6672,6935,legitimate
76,0,0,0,0,100,0,1,3993,5707171,phishing
29,0,0,0,0,40,0,1,1991,4019018,legitimate
70,0,0,0,0,0,0,0,8348,1,phishing
22,0,1,0,0,100,0,1,-1,0,phishing
46,0,0,0,1,33.33333333,0,1,5230,0,legitimate
53,0,0,0,1,66.66666667,0,0,5883,181,legitimate
105,0,0,0,1,12.5,0,1,4097,0,phishing
64,0,0,0,0,100,0,1,7685,10053,legitimate
29,0,0,0,1,87.09677419,0,1,3097,500444,legitimate
47,0,0,0,0,100,0,1,7403,2112,legitimate
126,0,0,0,1,0,0,1,1658,2580873,phishing
37,0,0,0,1,23.80952381,0,1,7448,0,legitimate
42,0,0,0,0,100,0,1,9247,1299,legitimate
15,0,0,0,1,5.555555556,0,0,1617,0,legitimate
44,0,0,0,0,0,0,1,2595,253010,legitimate
71,0,0,0,0,0,0,1,8705,974180,legitimate
72,0,0,0,1,81.81818182,0,1,6028,0,phishing
48,0,0,0,1,83.33333333,0,1,8125,6897,legitimate
29,0,0,0,0,58.33333333,0,1,5200,0,legitimate
71,0,0,0,1,56.52173913,0,1,6693,3855,legitimate
32,0,0,0,1,48.27586207,0,1,7299,2384422,legitimate
59,0,0,0,0,0,0,1,4942,0,phishing
55,0,0,0,0,0,0,1,5257,30484,phishing
26,0,0,0,0,40,0,1,1341,0,legitimate
32,0,0,0,0,0,0,1,6036,0,phishing
34,0,0,0,1,75,0,1,3876,1903447,legitimate
115,0,0,0,1,82.35294118,0,0,134,4970516,legitimate
33,0,0,1,0,0,0,1,1954,4403,phishing
74,0,0,0,1,75,0,1,8350,1309,legitimate
77,0,0,0,0,100,0,1,5767,0,phishing
18,1,0,0,0,80,0,1,4174,0,legitimate
62,0,0,0,0,83.33333333,0,1,7881,436856,legitimate
56,0,0,0,0,60,0,1,6400,92162,legitimate
53,0,0,0,0,0,0,1,5627,0,phishing
27,0,0,0,0,91.66666667,0,1,6879,8580,legitimate
84,0,0,0,0,0,0,1,8427,0,phishing
56,0,0,0,1,60,0,0,1396,0,phishing
552,0,0,0,1,33.33333333,0,1,6588,30,legitimate
110,0,0,0,1,40.90909091,0,0,10106,1103,legitimate
102,0,0,0,0,85.71428571,0,1,2046,0,phishing
32,0,0,0,0,100,0,1,2447,458809,legitimate
99,0,0,0,0,0,0,1,7446,383,legitimate
